kind,container,rust_name,python_name,python_rs_line,ported,tested,comment
class,"",PyPdfDocument,PdfDocument,30,true,false,""
method,PdfDocument,__enter__,__enter__,60,true,false,""
method,PdfDocument,__exit__,__exit__,65,true,false,""
method,PdfDocument,version,version,75,true,false,""
getter,PdfDocument,page_count,page_count,88,true,true,""
method,PdfDocument,get_layers,get_layers,111,true,false,""
method,PdfDocument,get_page_inks,get_page_inks,129,true,false,""
method,PdfDocument,get_page_inks_deep,get_page_inks_deep,158,true,false,""
method,PdfDocument,signatures,signatures,170,true,false,""
method,PdfDocument,signature_count,signature_count,178,true,false,""
method,PdfDocument,dss,dss,186,true,false,""
method,PdfDocument,extract_text,extract_text,229,true,true,""
method,PdfDocument,remove_headers,remove_headers,286,true,false,""
method,PdfDocument,remove_footers,remove_footers,298,true,false,""
method,PdfDocument,remove_artifacts,remove_artifacts,310,true,false,""
method,PdfDocument,sync_editor_erasures,sync_editor_erasures,321,false,false,移植不能: upstream の PdfDocument.erase_regions フィールドが pub(crate) のため外部 crate から参照できない。remove_headers 等の自動計算領域が save 出力へ反映されない制約あり（座標明示の erase_region(s) は完全動作）。upstream に公開アクセサが入れば対応可
method,PdfDocument,erase_header,erase_header,337,true,false,""
method,PdfDocument,edit_header,edit_header,347,true,false,""
method,PdfDocument,erase_footer,erase_footer,352,true,false,""
method,PdfDocument,edit_footer,edit_footer,362,true,false,""
method,PdfDocument,erase_artifacts,erase_artifacts,367,true,false,""
method,PdfDocument,within,within,378,true,false,""
method,PdfDocument,render_page,render_page,411,true,false,""
method,PdfDocument,render_page_fit,render_page_fit,508,true,false,""
method,PdfDocument,render_pixmap,render_pixmap,602,true,false,""
method,PdfDocument,render_separations,render_separations,649,true,false,""
method,PdfDocument,render_separation,render_separation,703,true,false,""
method,PdfDocument,extract_chars,extract_chars,739,true,false,""
method,PdfDocument,extract_words,extract_words,807,true,false,""
method,PdfDocument,extract_text_lines,extract_text_lines,869,true,false,""
method,PdfDocument,page_layout_params,page_layout_params,932,true,false,""
method,PdfDocument,has_structure_tree,has_structure_tree,963,true,false,""
method,PdfDocument,to_plain_text,to_plain_text,975,true,false,""
method,PdfDocument,to_plain_text_all,to_plain_text_all,1005,true,false,""
method,PdfDocument,to_markdown,to_markdown,1034,true,false,""
method,PdfDocument,to_html,to_html,1069,true,false,""
method,PdfDocument,to_markdown_all,to_markdown_all,1101,true,false,""
method,PdfDocument,to_html_all,to_html_all,1130,true,false,""
method,PdfDocument,to_docx,to_docx,1156,true,false,""
method,PdfDocument,to_docx_bytes,to_docx_bytes,1163,true,false,""
method,PdfDocument,to_pptx,to_pptx,1172,true,false,""
method,PdfDocument,to_pptx_bytes,to_pptx_bytes,1179,true,false,""
method,PdfDocument,to_xlsx,to_xlsx,1188,true,false,""
method,PdfDocument,to_xlsx_bytes,to_xlsx_bytes,1195,true,false,""
method,PdfDocument,page,page,1204,true,false,""
method,PdfDocument,save_page,save_page,1216,true,false,""
method,PdfDocument,save,save,1234,true,false,""
method,PdfDocument,to_bytes,to_bytes,1269,true,false,""
method,PdfDocument,set_title,set_title,1296,true,false,""
method,PdfDocument,set_author,set_author,1305,true,false,""
method,PdfDocument,set_subject,set_subject,1314,true,false,""
method,PdfDocument,set_keywords,set_keywords,1323,true,false,""
method,PdfDocument,page_rotation,page_rotation,1332,true,false,""
method,PdfDocument,set_page_rotation,set_page_rotation,1344,true,false,""
method,PdfDocument,rotate_page,rotate_page,1356,true,false,""
method,PdfDocument,rotate_all_pages,rotate_all_pages,1368,true,false,""
method,PdfDocument,page_media_box,page_media_box,1380,true,false,""
method,PdfDocument,set_page_media_box,set_page_media_box,1393,true,false,""
method,PdfDocument,page_crop_box,page_crop_box,1412,true,false,""
method,PdfDocument,set_page_crop_box,set_page_crop_box,1425,true,false,""
method,PdfDocument,crop_margins,crop_margins,1444,true,false,""
method,PdfDocument,erase_region,erase_region,1456,true,false,""
method,PdfDocument,erase_regions,erase_regions,1478,true,false,""
method,PdfDocument,clear_erase_regions,clear_erase_regions,1496,true,false,""
method,PdfDocument,flatten_page_annotations,flatten_page_annotations,1507,true,false,""
method,PdfDocument,flatten_all_annotations,flatten_all_annotations,1518,true,false,""
method,PdfDocument,is_page_marked_for_flatten,is_page_marked_for_flatten,1529,true,false,""
method,PdfDocument,unmark_page_for_flatten,unmark_page_for_flatten,1536,true,false,""
method,PdfDocument,apply_page_redactions,apply_page_redactions,1543,true,false,""
method,PdfDocument,apply_all_redactions,apply_all_redactions,1554,true,false,""
method,PdfDocument,is_page_marked_for_redaction,is_page_marked_for_redaction,1565,true,false,""
method,PdfDocument,unmark_page_for_redaction,unmark_page_for_redaction,1572,true,false,""
method,PdfDocument,add_redaction,add_redaction,1587,true,false,""
method,PdfDocument,redaction_count,redaction_count,1608,true,false,""
method,PdfDocument,apply_redactions_destructive,apply_redactions_destructive,1624,true,false,""
method,PdfDocument,sanitize_document,sanitize_document,1663,true,false,""
method,PdfDocument,page_images,page_images,1697,true,false,""
method,PdfDocument,reposition_image,reposition_image,1731,true,false,""
method,PdfDocument,resize_image,resize_image,1742,true,false,""
method,PdfDocument,set_image_bounds,set_image_bounds,1759,true,false,""
method,PdfDocument,clear_image_modifications,clear_image_modifications,1778,true,false,""
method,PdfDocument,has_image_modifications,has_image_modifications,1785,true,false,""
method,PdfDocument,search,search,1793,true,false,""
method,PdfDocument,search_page,search_page,1826,true,false,""
method,PdfDocument,prepare_search,prepare_search,1861,true,false,""
method,PdfDocument,clear_search_index,clear_search_index,1869,true,false,""
method,PdfDocument,extract_images,extract_images,1875,true,false,""
method,PdfDocument,extract_tables,extract_tables,1909,true,false,""
method,PdfDocument,extract_spans,extract_spans,1969,true,false,""
method,PdfDocument,extract_page_text,extract_page_text,2013,true,false,""
method,PdfDocument,get_outline,get_outline,2061,true,false,""
method,PdfDocument,extract_structured,extract_structured,2075,true,false,""
method,PdfDocument,get_annotations,get_annotations,2084,true,false,""
method,PdfDocument,extract_paths,extract_paths,2140,true,false,""
method,PdfDocument,extract_rects,extract_rects,2162,true,false,""
method,PdfDocument,extract_lines,extract_lines,2184,true,false,""
method,PdfDocument,classify_page,classify_page,2207,true,false,""
method,PdfDocument,classify_document,classify_document,2217,true,false,""
method,PdfDocument,extract_text_auto,extract_text_auto,2227,true,false,""
method,PdfDocument,extract_page_auto,extract_page_auto,2238,true,false,""
method,PdfDocument,extract_text_ocr,extract_text_ocr,2252,false,false,要 ocr feature（ONNX ランタイム依存の opt-in ビルド）。有効化すれば移植可能
method,PdfDocument,has_text_layer,has_text_layer,2295,true,false,""
method,PdfDocument,permissions,permissions,2305,true,false,""
method,PdfDocument,structured_warnings,structured_warnings,2334,true,false,""
method,PdfDocument,get_form_fields,get_form_fields,2349,true,false,""
method,PdfDocument,get_form_field_value,get_form_field_value,2360,true,false,""
method,PdfDocument,set_form_field_value,set_form_field_value,2375,true,false,""
method,PdfDocument,has_xfa,has_xfa,2387,true,false,""
method,PdfDocument,export_form_data,export_form_data,2394,true,false,""
method,PdfDocument,extract_image_bytes,extract_image_bytes,2411,true,false,""
method,PdfDocument,flatten_forms,flatten_forms,2432,true,false,""
method,PdfDocument,flatten_forms_on_page,flatten_forms_on_page,2443,true,false,""
method,PdfDocument,flatten_warnings,flatten_warnings,2457,true,false,""
method,PdfDocument,merge_from,merge_from,2465,true,false,""
method,PdfDocument,embed_file,embed_file,2484,true,false,""
method,PdfDocument,page_labels,page_labels,2495,true,false,""
method,PdfDocument,xmp_metadata,xmp_metadata,2516,true,false,""
method,PdfDocument,validate_pdf_a,validate_pdf_a,2566,true,false,""
method,PdfDocument,convert_to_pdf_a,convert_to_pdf_a,2601,true,false,""
method,PdfDocument,validate_pdf_ua,validate_pdf_ua,2643,true,false,""
method,PdfDocument,validate_pdf_x,validate_pdf_x,2659,true,false,""
method,PdfDocument,extract_pages,extract_pages,2691,true,false,""
method,PdfDocument,extract_pages_to_bytes,extract_pages_to_bytes,2712,true,false,""
method,PdfDocument,extract_page_ranges_to_bytes,extract_page_ranges_to_bytes,2739,true,false,""
method,PdfDocument,select_pages,select_pages,2758,true,false,""
method,PdfDocument,delete_page,delete_page,2769,true,false,""
method,PdfDocument,move_page,move_page,2781,true,false,""
method,PdfDocument,flatten_to_images,flatten_to_images,2799,true,false,""
method,PdfDocument,__len__,__len__,2812,true,false,""
method,PdfDocument,__getitem__,__getitem__,2821,true,false,""
method,PdfDocument,__iter__,__iter__,2838,true,false,""
getter,PdfDocument,pages,pages,2861,true,false,""
method,PdfDocument,__repr__,__repr__,2874,true,false,""
constructor,PdfDocument,new,new,2900,true,true,""
static_method,PdfDocument,from_bytes,from_bytes,2926,true,false,""
method,PdfDocument,authenticate,authenticate,2949,true,false,""
method,PdfDocument,save_encrypted,save_encrypted,2957,true,false,""
method,PdfDocument,to_bytes_encrypted,to_bytes_encrypted,3000,true,false,""
class,"",PyPageCount,_PageCount,3046,true,false,""
method,_PageCount,__call__,__call__,3054,true,false,""
method,_PageCount,__int__,__int__,3059,true,false,""
method,_PageCount,__index__,__index__,3065,true,false,""
method,_PageCount,__repr__,__repr__,3069,true,false,""
method,_PageCount,__str__,__str__,3073,true,false,""
method,_PageCount,__eq__,__eq__,3079,true,false,""
method,_PageCount,__ne__,__ne__,3092,true,false,""
method,_PageCount,__lt__,__lt__,3096,true,false,""
method,_PageCount,__le__,__le__,3099,true,false,""
method,_PageCount,__gt__,__gt__,3102,true,false,""
method,_PageCount,__ge__,__ge__,3105,true,false,""
method,_PageCount,__hash__,__hash__,3109,true,false,""
method,_PageCount,__sub__,__sub__,3115,true,false,""
method,_PageCount,__add__,__add__,3119,true,false,""
method,_PageCount,__bool__,__bool__,3123,true,false,""
class,"",PyDocPageIter,PdfDocumentIter,3130,true,false,""
method,PdfDocumentIter,__iter__,__iter__,3138,true,false,""
